"Volume","VolumeMissing"
59703500,59703500
57635800,57635800
61340100,61340100
57308500,57308500
58080900,58080900
50437200,50437200
52267600,52267600
60583200,60583200
44164900,44164900
47383800,47383800
43030700,43030700
79067200,79067200
61731300,61731300
71285400,71285400
172209600,172209600
77890100,77890100
75333400,75333400
95633700,95633700
67196300,67196300
81674100,81674100
52849200,52849200
59712200,59712200
57764200,57764200
93816900,93816900
74890500,74890500
59345700,59345700
62599600,62599600
68326100,68326100
62089700,62089700
56423800,56423800
78060400,78060400
63569000,63569000
72528600,72528600
73823500,73823500
74330300,74330300
72053700,72053700
57720900,57720900
74716700,74716700
67165500,67165500
49603700,49603700
78499600,78499600
149009700,149009700
83884100,83884100
69746900,69746900
60292700,60292700
84806900,84806900
81351700,81351700
76560700,76560700
58136500,58136500
60217200,60217200
58924900,58924900
63922000,63922000
66702100,66702100
62332400,62332400
49790900,49790900
70811600,70811600
85151700,85151700
61146600,61146600
73254400,73254400
51251300,51251300
47597700,47597700
88258000,88258000
67583100,67583100
92808700,92808700
66704100,66704100
61415500,61415500
80856100,80856100
66373900,66373900
80311000,80311000
58668000,58668000
92066600,92066600
52012100,52012100
23031100,23031100
66808800,66808800
88946000,88946000
84149400,84149400
109438600,109438600
142326300,142326300
63400700,63400700
68931000,NA
78960300,78960300
112089700,112089700
73460100,73460100
57206500,57206500
76379900,76379900
64347800,64347800
63974700,63974700
93531700,93531700
50719500,50719500
67182000,67182000
55746800,55746800
35032100,35032100
38878600,38878600
41466900,41466900
48375600,48375600
32584800,32584800
31951800,31951800
64246900,64246900
93729100,93729100
73848800,73848800
63440900,63440900
82523000,82523000
65393900,65393900
114083400,114083400
143219700,143219700
73856600,73856600
65148200,65148200
63728200,63728200
71776900,71776900
68547100,68547100
80971200,80971200
83759500,83759500
94826800,94826800
69891500,69891500
78986900,78986900
76572300,76572300
60540400,60540400
67031800,67031800
73565400,73565400
60735900,60735900
67594800,67594800
53757300,53757300
85233700,85233700
69909500,69909500
74162700,74162700
101956900,101956900
59197400,59197400
80599700,80599700
85307400,85307400
80239800,80239800
58126700,58126700
80059700,80059700
92071900,92071900
78619300,78619300
73552200,73552200
78925000,78925000
84308400,84308400
78910100,78910100
85790700,85790700
66040200,66040200
88515000,88515000
55791600,55791600
64168700,64168700
81906000,81906000
114213100,114213100
45827400,45827400
47097500,NA
59791000,59791000
49047800,49047800
62777800,62777800
39608900,39608900
49092300,49092300
54286400,54286400
34664000,34664000
42922000,42922000
53920200,53920200
62360100,NA
